2026-06-28 21:18:14 | WARNING  | medical_ai | 821376723.py:2402 | 
Warnings: 4
2026-06-28 21:18:14 | WARNING  | medical_ai | 821376723.py:2404 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:18:14 | WARNING  | medical_ai | 821376723.py:2404 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:18:14 | WARNING  | medical_ai | 821376723.py:2404 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:18:14 | WARNING  | medical_ai | 821376723.py:2404 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:18:14 | ERROR    | medical_ai | 821376723.py:2409 | 
Errors: 1
2026-06-28 21:18:14 | ERROR    | medical_ai | 821376723.py:2411 |    - Dataset for breast not loaded
2026-06-28 21:20:04 | ERROR    | medical_ai | 821376723.py:2864 | Fuzzy extraction error: too many values to unpack (expected 2)
2026-06-28 21:20:39 | ERROR    | medical_ai | 821376723.py:2864 | Fuzzy extraction error: too many values to unpack (expected 2)
2026-06-28 21:20:51 | ERROR    | medical_ai | 821376723.py:2864 | Fuzzy extraction error: too many values to unpack (expected 2)
2026-06-28 21:33:22 | WARNING  | medical_ai | 176502245.py:1769 |    Model compatibility issues found
2026-06-28 21:33:22 | WARNING  | medical_ai | 176502245.py:1769 |    Model compatibility issues found
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2329 | Found 46 integrity issues:
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2331 |    - Disease 'Anemia' has no description
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2331 |    - Disease 'Anemia' has no precautions
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2331 |    - Disease 'Anxiety' has no description
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2331 |    - Disease 'Anxiety' has no precautions
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2331 |    - Disease 'Asthma' has no description
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2331 |    - Disease 'Asthma' has no precautions
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2331 |    - Disease 'Bronchitis' has no description
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2331 |    - Disease 'Bronchitis' has no precautions
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2331 |    - Disease 'COVID-19' has no description
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2331 |    - Disease 'COVID-19' has no precautions
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2333 |    ... and 36 more
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2415 | 
Warnings: 4
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:33:23 | WARNING  | medical_ai | 176502245.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:33:23 | ERROR    | medical_ai | 176502245.py:2422 | 
Errors: 1
2026-06-28 21:33:23 | ERROR    | medical_ai | 176502245.py:2424 |    - Dataset for breast not loaded
2026-06-28 21:44:17 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 21:44:17 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2329 | Found 46 integrity issues:
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no description
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no precautions
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no description
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no precautions
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Asthma' has no description
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Asthma' has no precautions
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Bronchitis' has no description
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Bronchitis' has no precautions
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'COVID-19' has no description
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'COVID-19' has no precautions
2026-06-28 21:44:18 | WARNING  | medical_ai | 1015325776.py:2333 |    ... and 36 more
2026-06-28 21:44:19 | WARNING  | medical_ai | 1015325776.py:2415 | 
Warnings: 4
2026-06-28 21:44:19 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:44:19 | WARNING  | medical_ai | 1015325776.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:44:19 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:44:19 | WARNING  | medical_ai | 1015325776.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:44:19 | ERROR    | medical_ai | 1015325776.py:2422 | 
Errors: 1
2026-06-28 21:44:19 | ERROR    | medical_ai | 1015325776.py:2424 |    - Dataset for breast not loaded
2026-06-28 22:04:15 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 22:04:15 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2329 | Found 46 integrity issues:
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no description
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no precautions
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no description
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no precautions
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Asthma' has no description
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Asthma' has no precautions
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Bronchitis' has no description
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Bronchitis' has no precautions
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'COVID-19' has no description
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'COVID-19' has no precautions
2026-06-28 22:04:16 | WARNING  | medical_ai | 1015325776.py:2333 |    ... and 36 more
2026-06-28 22:04:17 | WARNING  | medical_ai | 1015325776.py:2415 | 
Warnings: 4
2026-06-28 22:04:17 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:04:17 | WARNING  | medical_ai | 1015325776.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:04:17 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:04:17 | WARNING  | medical_ai | 1015325776.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:04:17 | ERROR    | medical_ai | 1015325776.py:2422 | 
Errors: 1
2026-06-28 22:04:17 | ERROR    | medical_ai | 1015325776.py:2424 |    - Dataset for breast not loaded
2026-06-28 22:11:06 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2329 | Found 46 integrity issues:
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no description
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no precautions
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no description
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no precautions
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Asthma' has no description
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Asthma' has no precautions
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Bronchitis' has no description
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Bronchitis' has no precautions
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'COVID-19' has no description
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'COVID-19' has no precautions
2026-06-28 22:11:07 | WARNING  | medical_ai | 1015325776.py:2333 |    ... and 36 more
2026-06-28 22:11:08 | WARNING  | medical_ai | 1015325776.py:2415 | 
Warnings: 4
2026-06-28 22:11:08 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
