iter	Logloss
0	0.6439526367
1	0.6023024292
2	0.5540133057
3	0.5147981567
4	0.4792440796
5	0.4453515625
6	0.4100650635
7	0.3810282593
8	0.3539346924
9	0.3316779175
10	0.3122300415
11	0.2901065674
12	0.2768680725
13	0.2578886414
14	0.2430871124
15	0.2290235901
16	0.2154898224
17	0.2043912354
18	0.1950402527
19	0.1850401306
20	0.1773181
21	0.1729454346
22	0.1648166046
23	0.1572072449
24	0.1494431763
25	0.1431298981
26	0.137790741
27	0.1321956482
28	0.1282706604
29	0.1226571655
30	0.1191102676
31	0.1139142075
32	0.1094385147
33	0.1063020935
34	0.1031803589
35	0.1005413055
36	0.09767703247
37	0.09452723694
38	0.09256460571
39	0.08924269104
40	0.08590477753
41	0.0832073288
42	0.08113298035
43	0.07898542786
44	0.07741940308
45	0.0756604538
46	0.07373980713
47	0.07175975037
48	0.06980302429
49	0.06801538849
50	0.06616118622
51	0.0642495575
52	0.06260319519
53	0.06125717163
54	0.06011223984
55	0.05874957657
56	0.05716866302
57	0.05551278687
58	0.05385588074
59	0.05275511551
60	0.05141147232
61	0.04976625824
62	0.04882857513
63	0.04750736618
64	0.04691007233
65	0.04623775482
66	0.04511856079
67	0.04417694473
68	0.04356520844
69	0.04266152954
70	0.04206694794
71	0.04104860306
72	0.04021170425
73	0.03933610916
74	0.03853264618
75	0.03751929474
76	0.03679607391
77	0.03639633942
78	0.03549695587
79	0.0349197464
80	0.03438275528
81	0.03387307358
82	0.03349557495
83	0.03286945343
84	0.03235247803
85	0.03177952576
86	0.03142914963
87	0.03094341278
88	0.03056968307
89	0.03025458336
90	0.02976140213
91	0.02931879425
92	0.02877377129
93	0.02831906509
94	0.02788315582
95	0.02761610222
96	0.02740323257
97	0.02690263557
98	0.02639558411
99	0.02611244583
100	0.02582514572
101	0.02557708168
102	0.02513491821
103	0.02489802361
104	0.02452732086
105	0.02431258583
106	0.02395814323
107	0.02355333519
108	0.02326582718
109	0.02290948105
110	0.02248675919
111	0.02217333603
112	0.02192386818
113	0.02172227669
114	0.02143823624
115	0.02123434067
116	0.02098777199
117	0.02076034164
118	0.02048357773
119	0.02035881042
120	0.020086483
121	0.01981933212
122	0.01955150986
123	0.01939283943
124	0.01920831299
125	0.01891499138
126	0.01870256424
127	0.01853935242
128	0.01832226944
129	0.01811372566
130	0.01791987228
131	0.01770409012
132	0.01750065613
133	0.01735839844
134	0.01717922211
135	0.01701815414
136	0.01690022469
137	0.01664406967
138	0.01646800995
139	0.01612005997
140	0.01608428383
141	0.0159037571
142	0.01567430305
143	0.01558062458
144	0.01543987465
145	0.01521033764
146	0.01504569244
147	0.0148964386
148	0.01476317024
149	0.01464153194
150	0.01446497536
151	0.01431307793
152	0.01419002533
153	0.01405616474
154	0.01391719055
155	0.01373035908
156	0.01358462811
157	0.01343828392
158	0.01326754475
159	0.01315985107
160	0.01303153038
161	0.01293207169
162	0.01279237366
163	0.01269631958
164	0.01258049583
165	0.01243950081
166	0.01235608673
167	0.0122206955
168	0.01212027359
169	0.01200540733
170	0.01188042259
171	0.01174427223
172	0.01169092178
173	0.01160215473
174	0.01151609802
175	0.01138625908
176	0.0112939024
177	0.01122762775
178	0.01118009758
179	0.01105941963
180	0.01092803001
181	0.01083769417
182	0.0106789217
183	0.0105952282
184	0.01054251289
185	0.01044132423
186	0.01041232109
187	0.01029736042
188	0.01025541687
189	0.01021988869
190	0.01013679695
191	0.009999282837
192	0.009912418365
193	0.009798243523
194	0.009739815712
195	0.009664331436
196	0.009542894363
197	0.009468633652
198	0.00936700058
199	0.009274637222
